scen;offshore_capex;onshore_capex;pv_capex;battery_capex;methanation_capex;offshore_opex;onshore_opex;pv_opex;methanation_opex
220;2912,5;1130;635,1;100;575;58,25;33,9;13,335;29,7
221;2912,5;1130;635,1;100;1150;58,25;33,9;13,335;59,3
222;2912,5;1130;635,1;100;1725;58,25;33,9;13,335;89
223;2912,5;1130;635,1;150;575;58,25;33,9;13,335;29,7
224;2912,5;1130;635,1;150;1150;58,25;33,9;13,335;59,3
225;2912,5;1130;635,1;150;1725;58,25;33,9;13,335;89
226;2330;1412,5;211,7;50;575;46,6;42,375;4,4457;29,7
227;2330;1412,5;211,7;50;1150;46,6;42,375;4,4457;59,3
228;2330;1412,5;211,7;50;1725;46,6;42,375;4,4457;89
229;2330;1412,5;211,7;100;575;46,6;42,375;4,4457;29,7
230;2330;1412,5;211,7;100;1150;46,6;42,375;4,4457;59,3
231;2330;1412,5;211,7;100;1725;46,6;42,375;4,4457;89
232;2330;1412,5;211,7;150;575;46,6;42,375;4,4457;29,7
233;2330;1412,5;211,7;150;1150;46,6;42,375;4,4457;59,3
234;2330;1412,5;211,7;150;1725;46,6;42,375;4,4457;89
235;2330;1412,5;317,55;50;575;46,6;42,375;8,8893;29,7
236;2330;1412,5;317,55;50;1150;46,6;42,375;8,8893;59,3
237;2330;1412,5;317,55;50;1725;46,6;42,375;8,8893;89
238;2330;1412,5;317,55;100;575;46,6;42,375;8,8893;29,7
239;2330;1412,5;317,55;100;1150;46,6;42,375;8,8893;59,3
240;2330;1412,5;317,55;100;1725;46,6;42,375;8,8893;89
241;2330;1412,5;317,55;150;575;46,6;42,375;8,8893;29,7
242;2330;1412,5;317,55;150;1150;46,6;42,375;8,8893;59,3
243;2330;1412,5;317,55;150;1725;46,6;42,375;8,8893;89
244;2330;1412,5;423,4;50;575;46,6;42,375;8,8893;29,7
245;2330;1412,5;423,4;50;1150;46,6;42,375;8,8893;59,3
246;2330;1412,5;423,4;50;1725;46,6;42,375;8,8893;89
247;2330;1412,5;423,4;100;575;46,6;42,375;8,8893;29,7
248;2330;1412,5;423,4;100;1150;46,6;42,375;8,8893;59,3
249;2330;1412,5;423,4;100;1725;46,6;42,375;8,8893;89
250;2330;1412,5;423,4;150;575;46,6;42,375;8,8893;29,7
251;2330;1412,5;423,4;150;1150;46,6;42,375;8,8893;59,3
252;2330;1412,5;423,4;150;1725;46,6;42,375;8,8893;89
253;2330;1412,5;529,25;50;575;46,6;42,375;8,8893;29,7
254;2330;1412,5;529,25;50;1150;46,6;42,375;8,8893;59,3
255;2330;1412,5;529,25;50;1725;46,6;42,375;8,8893;89
256;2330;1412,5;529,25;100;575;46,6;42,375;8,8893;29,7
257;2330;1412,5;529,25;100;1150;46,6;42,375;8,8893;59,3
258;2330;1412,5;529,25;100;1725;46,6;42,375;8,8893;89
259;2330;1412,5;529,25;150;575;46,6;42,375;8,8893;29,7
260;2330;1412,5;529,25;150;1150;46,6;42,375;8,8893;59,3
261;2330;1412,5;529,25;150;1725;46,6;42,375;8,8893;89
262;2330;1412,5;635,1;50;575;46,6;42,375;13,335;29,7
263;2330;1412,5;635,1;50;1150;46,6;42,375;13,335;59,3
264;2330;1412,5;635,1;50;1725;46,6;42,375;13,335;89
265;2330;1412,5;635,1;100;575;46,6;42,375;13,335;29,7
266;2330;1412,5;635,1;100;1150;46,6;42,375;13,335;59,3
267;2330;1412,5;635,1;100;1725;46,6;42,375;13,335;89
268;2330;1412,5;635,1;150;575;46,6;42,375;13,335;29,7
269;2330;1412,5;635,1;150;1150;46,6;42,375;13,335;59,3
270;2330;1412,5;635,1;150;1725;46,6;42,375;13,335;89
271;2912,5;1412,5;211,7;50;575;58,25;42,375;4,4457;29,7
272;2912,5;1412,5;211,7;50;1150;58,25;42,375;4,4457;59,3
